rwxr-xr-x  0/10      0 Jan  6 13:41 1986 ./
rw-r--r--  0/10  15955 Mar  9 05:01 1983 ./cm.b.12
rw-r--r--  0/10   7982 Mar  9 05:01 1983 ./otimes.r.10r
rw-r--r--  0/10   6942 Mar  9 05:01 1983 ./otimes.s.10r
rw-r--r--  0/10  16957 Mar  9 05:01 1983 ./cm.i.12
rw-r--r--  0/10   9561 Mar  9 05:01 1983 ./cm.r.6
rw-r--r--  0/10  10855 Mar  9 05:01 1983 ./cm.b.7
rw-r--r--  0/10  15862 Mar  9 05:01 1983 ./cm.r.12
rw-r--r--  0/10  14790 Mar  9 05:01 1983 ./cm.b.11
rw-r--r--  0/10  10021 Mar  9 05:01 1983 ./cm.i.6
rw-r--r--  0/10  11186 Mar  9 05:01 1983 ./cm.i.7
rw-r--r--  0/10  12931 Mar  9 05:01 1983 ./cm.i.9
rw-r--r--  0/10  10969 Mar  9 05:01 1983 ./cm.r.10
rw-r--r--  0/10   8438 Mar  9 05:01 1983 ./otimes.b.10r
rw-r--r--  0/10   9338 Mar  9 05:01 1983 ./otimes.i.10r
rw-r--r--  0/10  13365 Mar  9 05:01 1983 ./cm.b.10
rw-r--r--  0/10   8920 Mar  9 05:01 1983 ./ugramma.10
rw-r--r--  0/10  10651 Mar  9 05:01 1983 ./cm.r.8
rw-r--r--  0/10  14131 Mar  9 05:01 1983 ./cm.i.10
rw-r--r--  0/10  14386 Mar  9 05:01 1983 ./R.18
rw-r--r--  0/10  18194 Mar  9 05:01 1983 ./clarendon.18r
rw-r--r--  0/10  14256 Mar  9 05:01 1983 ./R.18r
rw-r--r--  0/10  16749 Mar  9 05:01 1983 ./R.20
rw-r--r--  0/10  16139 Mar  9 05:01 1983 ./R.20r
rw-r--r--  0/10  19292 Mar  9 05:01 1983 ./R.22
rw-r--r--  0/10  19383 Mar  9 05:01 1983 ./R.22r
rw-r--r--  0/10  22250 Mar  9 05:01 1983 ./R.24
rw-r--r--  0/10  21476 Mar  9 05:01 1983 ./R.24r
rw-r--r--  0/10  28707 Mar  9 05:02 1983 ./R.28
rw-r--r--  0/10  28210 Mar  9 05:02 1983 ./R.28r
rw-r--r--  0/10  44733 Mar  9 05:02 1983 ./R.36
rw-r--r--  0/10   4511 Mar  9 05:02 1983 ./R.6
rw-r--r--  0/10   4409 Mar  9 05:02 1983 ./R.6r
rw-r--r--  0/10   5065 Mar  9 05:02 1983 ./R.7
rw-r--r--  0/10   4718 Mar  9 05:02 1983 ./R.7r
rw-r--r--  0/10   5538 Mar  9 05:02 1983 ./R.8
rw-r--r--  0/10   5399 Mar  9 05:02 1983 ./R.8r
rw-r--r--  0/10   5969 Mar  9 05:02 1983 ./R.9
rw-r--r--  0/10   6206 Mar  9 05:02 1983 ./R.9r
rw-r--r--  0/10   6904 Nov 10 05:57 1983 ./S.10
rw-r--r--  0/10   6857 Nov 10 06:03 1983 ./S.10r
rw-r--r--  0/10   7708 Mar  9 05:02 1983 ./S.11
rw-r--r--  0/10   7339 Mar  9 05:02 1983 ./S.11r
rw-r--r--  0/10   8808 Mar  9 05:02 1983 ./S.12
rw-r--r--  0/10  14342 Mar  9 05:02 1983 ./cm.b.10r
rw-r--r--  0/10  14738 Mar  9 05:02 1983 ./cm.b.11r
rw-r--r--  0/10   8660 Mar  9 05:02 1983 ./S.12r
rw-r--r--  0/10  10360 Mar  9 05:02 1983 ./S.14
rw-r--r--  0/10  10295 Mar  9 05:02 1983 ./S.14r
rw-r--r--  0/10  12527 Mar  9 05:02 1983 ./S.16
rw-r--r--  0/10  12432 Mar  9 05:02 1983 ./S.16r
rw-r--r--  0/10  15600 Mar  9 05:02 1983 ./S.18
rw-r--r--  0/10  17474 Mar  9 05:02 1983 ./cm.b.12r
rw-r--r--  0/10  14957 Mar  9 05:02 1983 ./S.18r
rw-r--r--  0/10  17520 Mar  9 05:02 1983 ./S.20
rw-r--r--  0/10  17248 Mar  9 05:02 1983 ./S.20r
rw-r--r--  0/10  20193 Mar  9 05:02 1983 ./S.22
rw-r--r--  0/10  20255 Mar  9 05:02 1983 ./S.22r
rw-r--r--  0/10  23777 Mar  9 05:02 1983 ./S.24
rw-r--r--  0/10  22733 Mar  9 05:02 1983 ./S.24r
rw-r--r--  0/10  29986 Mar  9 05:02 1983 ./S.28
rw-r--r--  0/10  29474 Mar  9 05:02 1983 ./S.28r
rw-r--r--  0/10  47785 Mar  9 05:02 1983 ./S.36
rw-r--r--  0/10   4812 Mar  9 05:02 1983 ./S.6
rw-r--r--  0/10   4539 Mar  9 05:02 1983 ./S.6r
rw-r--r--  0/10   5192 Mar  9 05:02 1983 ./S.7
rw-r--r--  0/10   4878 Mar  9 05:02 1983 ./S.7r
rw-r--r--  0/10   5685 Mar  9 05:02 1983 ./S.8
rw-r--r--  0/10   5626 Mar  9 05:02 1983 ./S.8r
rw-r--r--  0/10   6277 Mar  9 05:02 1983 ./S.9
rw-r--r--  0/10   6273 Mar  9 05:02 1983 ./S.9r
rw-r--r--  0/10   8298 Mar  9 05:02 1983 ./apl.10r
rw-r--r--  0/10  20264 Mar  9 05:02 1983 ./mona.24r
rw-r--r--  0/10   6795 Mar  9 05:02 1983 ./delegate.b.12.
rw-r--r--  0/10  10604 Mar  9 05:02 1983 ./script.18r
rw-r--r--  0/10  43928 Mar  9 05:02 1983 ./R.36r
rw-r--r--  0/10  51861 Mar  9 05:03 1983 ./I.36r
rw-r--r--  0/10  49262 Mar  9 05:03 1983 ./B.36r
rw-r--r--  0/10  46762 Mar  9 05:03 1983 ./S.36r
rw-r--r--  0/10   4042 Mar  9 05:03 1983 ./cyrillic.12.r
rw-r--r--  0/10  11318 Mar  9 05:03 1983 ./cm.b.7r
rw-r--r--  0/10   6943 Mar  9 05:03 1983 ./delegate.b.12r
rw-r--r--  0/10   7574 Mar  9 05:03 1983 ./delegate.i.12r
rw-r--r--  0/10  15134 Mar  9 05:03 1983 ./cm.i.10r
rw-r--r--  0/10  18266 Mar  9 05:03 1983 ./cm.i.12r
